"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2025","202.52","211.44","212.94","201.16","101.35M","2.21%"
"04/11/2025","198.15","186.10","199.54","186.06","87.44M","4.06%"
"04/10/2025","190.42","189.07","194.78","183.00","121.88M","-4.24%"
"04/09/2025","198.85","171.95","200.61","171.89","184.40M","15.33%"
"04/08/2025","172.42","186.70","190.34","169.21","120.86M","-4.98%"
"04/07/2025","181.46","177.20","194.15","174.62","160.47M","-3.67%"
"04/04/2025","188.38","193.89","199.88","187.34","125.91M","-7.29%"
"04/03/2025","203.19","205.54","207.49","201.25","103.42M","-9.25%"
"04/02/2025","223.89","221.32","225.19","221.02","35.91M","0.31%"
"04/01/2025","223.19","219.80","223.68","218.90","36.41M","0.48%"
"03/31/2025","222.13","217.01","225.62","216.23","65.30M","1.94%"
"03/28/2025","217.90","221.67","223.81","217.68","39.82M","-2.66%"
"03/27/2025","223.85","221.39","224.99","220.56","37.09M","1.05%"
"03/26/2025","221.53","223.51","225.02","220.47","34.53M","-0.99%"
"03/25/2025","223.75","220.77","224.10","220.08","34.49M","1.37%"
"03/24/2025","220.73","221.00","221.48","218.58","44.30M","1.13%"
"03/21/2025","218.27","211.56","218.84","211.28","94.13M","1.95%"
"03/20/2025","214.10","213.99","217.49","212.22","48.86M","-0.53%"
"03/19/2025","215.24","214.22","218.76","213.75","54.39M","1.20%"
"03/18/2025","212.69","214.16","215.15","211.49","42.43M","-0.61%"
"03/17/2025","214.00","213.31","215.22","209.97","48.07M","0.24%"
"03/14/2025","213.49","211.25","213.95","209.58","60.11M","1.82%"
"03/13/2025","209.68","215.95","216.84","208.42","61.37M","-3.36%"
"03/12/2025","216.98","220.14","221.75","214.91","62.55M","-1.75%"
"03/11/2025","220.84","223.80","225.84","217.45","76.14M","-2.92%"
"03/10/2025","227.48","235.54","236.16","224.22","72.07M","-4.85%"
"03/07/2025","239.07","235.10","241.37","234.76","46.27M","1.59%"
"03/06/2025","235.33","234.43","237.86","233.16","45.17M","-0.17%"
"03/05/2025","235.74","235.42","236.55","229.23","47.23M","-0.08%"
"03/04/2025","235.93","237.71","240.07","234.68","53.80M","-0.88%"
"03/03/2025","238.03","241.79","244.03","236.11","47.18M","-1.58%"
"02/28/2025","241.84","236.95","242.09","230.20","56.83M","1.91%"
"02/27/2025","237.30","239.41","242.46","237.06","41.15M","-1.27%"
"02/26/2025","240.36","244.33","244.98","239.13","44.43M","-2.70%"
"02/25/2025","247.04","248.00","250.00","244.91","48.01M","-0.02%"
"02/24/2025","247.10","244.93","248.86","244.42","51.33M","0.63%"
"02/21/2025","245.55","245.95","248.69","245.22","53.20M","-0.11%"
"02/20/2025","245.83","244.94","246.78","244.29","32.32M","0.39%"
"02/19/2025","244.87","244.66","246.01","243.16","32.20M","0.16%"
"02/18/2025","244.47","244.15","245.18","241.84","48.82M","-0.05%"
"02/14/2025","244.60","241.25","245.55","240.99","40.90M","1.27%"
"02/13/2025","241.53","236.91","242.34","235.57","53.61M","1.97%"
"02/12/2025","236.87","231.20","236.96","230.68","45.24M","1.83%"
"02/11/2025","232.62","228.20","235.23","228.13","53.72M","2.18%"
"02/10/2025","227.65","229.57","230.59","227.20","33.12M","0.01%"
"02/07/2025","227.63","232.60","234.00","227.26","39.71M","-2.40%"
"02/06/2025","233.22","231.28","233.80","230.43","29.93M","0.32%"
"02/05/2025","232.47","228.53","232.67","228.27","39.66M","-0.14%"
"02/04/2025","232.80","227.25","233.13","226.65","45.07M","2.10%"
"02/03/2025","228.01","229.99","231.83","225.70","73.06M","-3.39%"
"01/31/2025","236.00","247.19","247.19","233.44","101.08M","-0.67%"
"01/30/2025","237.59","238.66","240.79","237.21","55.66M","-0.74%"
"01/29/2025","239.36","234.12","239.85","234.01","45.49M","0.46%"
"01/28/2025","238.26","230.85","240.19","230.81","75.71M","3.65%"
"01/27/2025","229.86","224.02","232.15","223.98","94.86M","3.18%"
"01/24/2025","222.78","224.78","225.63","221.41","54.70M","-0.39%"
"01/23/2025","223.66","224.74","227.03","222.30","60.23M","-0.08%"
"01/22/2025","223.83","219.79","224.12","219.79","64.13M","0.53%"
"01/21/2025","222.64","224.00","224.42","219.38","98.07M","-3.19%"
"01/17/2025","229.98","232.12","232.29","228.48","68.49M","0.75%"
"01/16/2025","228.26","237.35","238.01","228.03","71.76M","-4.04%"
"01/15/2025","237.87","234.63","238.96","234.43","39.83M","1.97%"
"01/14/2025","233.28","234.75","236.12","232.47","39.44M","-0.48%"
"01/13/2025","234.40","233.53","234.67","229.72","49.63M","-1.03%"
"01/10/2025","236.85","240.01","240.16","233.00","61.71M","-2.41%"
"01/08/2025","242.70","241.92","243.71","240.05","37.63M","0.20%"
"01/07/2025","242.21","242.98","245.55","241.35","40.86M","-1.14%"
"01/06/2025","245.00","244.31","247.33","243.20","45.05M","0.67%"
"01/03/2025","243.36","243.36","244.18","241.89","40.24M","-0.20%"
"01/02/2025","243.85","248.93","249.10","241.82","55.74M","-2.62%"
"12/31/2024","250.42","252.44","253.28","249.43","39.48M","-0.71%"
"12/30/2024","252.20","252.23","253.50","250.75","35.56M","-1.33%"
"12/27/2024","255.59","257.83","258.70","253.06","42.36M","-1.32%"
"12/26/2024","259.02","258.19","260.10","257.63","27.26M","0.32%"
"12/24/2024","258.20","255.49","258.21","255.29","23.23M","1.15%"
"12/23/2024","255.27","254.77","255.65","253.45","40.86M","0.31%"
